          table_name          |          column_name           |          data_type          | is_nullable |                      column_default                      
------------------------------+--------------------------------+-----------------------------+-------------+----------------------------------------------------------
 admin_invitations            | id                             | integer                     | NO          | nextval('admin_invitations_id_seq'::regclass)
 admin_invitations            | client_id                      | integer                     | YES         | 
 admin_invitations            | email                          | character varying           | NO          | 
 admin_invitations            | first_name                     | character varying           | NO          | 
 admin_invitations            | last_name                      | character varying           | NO          | 
 admin_invitations            | token                          | character varying           | NO          | 
 admin_invitations            | expires_at                     | timestamp without time zone | NO          | 
 admin_invitations            | status                         | character varying           | YES         | 'pending'::character varying
 admin_invitations            | invited_by                     | integer                     | YES         | 
 admin_invitations            | accepted_at                    | timestamp without time zone | YES         | 
 admin_invitations            | password_created_at            | timestamp without time zone | YES         | 
 admin_invitations            | reminder_sent_count            | integer                     | YES         | 0
 admin_invitations            | last_reminder_sent             | timestamp without time zone | YES         | 
 admin_invitations            | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 admin_invitations            | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 chat_messages                | id                             | integer                     | NO          | nextval('chat_messages_id_seq'::regclass)
 chat_messages                | meeting_id                     | integer                     | YES         | 
 chat_messages                | sender_id                      | integer                     | YES         | 
 chat_messages                | sender_email                   | character varying           | YES         | 
 chat_messages                | sender_name                    | character varying           | NO          | 
 chat_messages                | message                        | text                        | NO          | 
 chat_messages                | message_type                   | character varying           | YES         | 'text'::character varying
 chat_messages                | thread_id                      | integer                     | YES         | 
 chat_messages                | message_status                 | character varying           | YES         | 'sent'::character varying
 chat_messages                | edited_at                      | timestamp without time zone | YES         | 
 chat_messages                | edited_by                      | integer                     | YES         | 
 chat_messages                | original_message               | text                        | YES         | 
 chat_messages                | reactions                      | jsonb                       | YES         | 
 chat_messages                | mentions                       | jsonb                       | YES         | 
 chat_messages                | file_attachments               | jsonb                       | YES         | 
 chat_messages                | message_priority               | character varying           | YES         | 'normal'::character varying
 chat_messages                | is_announcement                | boolean                     | YES         | false
 chat_messages                | expires_at                     | timestamp without time zone | YES         | 
 chat_messages                | translation_data               | jsonb                       | YES         | 
 chat_messages                | sentiment_score                | numeric                     | YES         | 
 chat_messages                | flagged_content                | boolean                     | YES         | false
 chat_messages                | flag_reason                    | text                        | YES         | 
 chat_messages                | metadata                       | jsonb                       | YES         | 
 chat_messages                | is_moderated                   | boolean                     | YES         | false
 chat_messages                | moderated_by                   | integer                     | YES         | 
 chat_messages                | moderated_at                   | timestamp without time zone | YES         | 
 chat_messages                | reply_to_id                    | integer                     | YES         | 
 chat_messages                | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 chat_messages                | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 client_features              | id                             | integer                     | NO          | nextval('client_features_id_seq'::regclass)
 client_features              | client_id                      | integer                     | YES         | 
 client_features              | chat_enabled                   | boolean                     | YES         | true
 client_features              | reactions_enabled              | boolean                     | YES         | true
 client_features              | screen_sharing_enabled         | boolean                     | YES         | true
 client_features              | recording_enabled              | boolean                     | YES         | false
 client_features              | raise_hand_enabled             | boolean                     | YES         | true
 client_features              | waiting_room_enabled           | boolean                     | YES         | false
 client_features              | max_participants               | integer                     | YES         | 100
 client_features              | admin_approval_required        | boolean                     | YES         | true
 client_features              | default_video_permission       | boolean                     | YES         | false
 client_features              | default_audio_permission       | boolean                     | YES         | false
 client_features              | default_screen_permission      | boolean                     | YES         | false
 client_features              | allow_user_video_request       | boolean                     | YES         | true
 client_features              | allow_user_audio_request       | boolean                     | YES         | true
 client_features              | allow_user_screen_request      | boolean                     | YES         | true
 client_features              | auto_approve_requests          | boolean                     | YES         | false
 client_features              | meeting_lobby_enabled          | boolean                     | YES         | true
 client_features              | participant_limit              | integer                     | YES         | 100
 client_features              | meeting_duration_limit         | integer                     | YES         | 480
 client_features              | file_sharing_enabled           | boolean                     | YES         | true
 client_features              | file_size_limit_mb             | integer                     | YES         | 100
 client_features              | whiteboard_enabled             | boolean                     | YES         | false
 client_features              | polls_enabled                  | boolean                     | YES         | false
 client_features              | q_and_a_enabled                | boolean                     | YES         | false
 client_features              | live_streaming_enabled         | boolean                     | YES         | false
 client_features              | meeting_templates_enabled      | boolean                     | YES         | true
 client_features              | custom_backgrounds_enabled     | boolean                     | YES         | true
 client_features              | noise_cancellation_enabled     | boolean                     | YES         | true
 client_features              | transcription_enabled          | boolean                     | YES         | false
 client_features              | translation_enabled            | boolean                     | YES         | false
 client_features              | meeting_insights_enabled       | boolean                     | YES         | true
 client_features              | api_access_enabled             | boolean                     | YES         | false
 client_features              | webhook_notifications_enabled  | boolean                     | YES         | false
 client_features              | sso_required                   | boolean                     | YES         | false
 client_features              | ip_restrictions                | jsonb                       | YES         | 
 client_features              | allowed_domains                | jsonb                       | YES         | 
 client_features              | blocked_domains                | jsonb                       | YES         | 
 client_features              | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 client_features              | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 clients                      | id                             | integer                     | NO          | nextval('clients_id_seq'::regclass)
 clients                      | email                          | character varying           | NO          | 
 clients                      | app_name                       | character varying           | NO          | 
 clients                      | organization_name              | character varying           | NO          | 
 clients                      | organization_type              | character varying           | YES         | 'business'::character varying
 clients                      | subscription_plan              | character varying           | YES         | 'free'::character varying
 clients                      | subscription_expires_at        | timestamp without time zone | YES         | 
 clients                      | max_admins                     | integer                     | YES         | 5
 clients                      | max_users                      | integer                     | YES         | 100
 clients                      | max_concurrent_meetings        | integer                     | YES         | 10
 clients                      | storage_limit_gb               | integer                     | YES         | 10
 clients                      | logo_url                       | character varying           | YES         | 
 clients                      | theme                          | character varying           | YES         | 'default'::character varying
 clients                      | primary_color                  | character varying           | YES         | '#007bff'::character varying
 clients                      | custom_domain                  | character varying           | YES         | 
 clients                      | branding_config                | jsonb                       | YES         | 
 clients                      | sso_enabled                    | boolean                     | YES         | false
 clients                      | sso_config                     | jsonb                       | YES         | 
 clients                      | security_settings              | jsonb                       | YES         | 
 clients                      | billing_contact_email          | character varying           | YES         | 
 clients                      | technical_contact_email        | character varying           | YES         | 
 clients                      | timezone                       | character varying           | YES         | 'UTC'::character varying
 clients                      | business_hours                 | jsonb                       | YES         | 
 clients                      | is_active                      | boolean                     | YES         | true
 clients                      | trial_ends_at                  | timestamp without time zone | YES         | 
 clients                      | created_by                     | integer                     | YES         | 
 clients                      | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 clients                      | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 email_templates              | id                             | integer                     | NO          | nextval('email_templates_id_seq'::regclass)
 email_templates              | client_id                      | integer                     | YES         | 
 email_templates              | type                           | character varying           | NO          | 
 email_templates              | name                           | character varying           | NO          | 
 email_templates              | subject                        | character varying           | NO          | 
 email_templates              | html_body                      | text                        | NO          | 
 email_templates              | text_body                      | text                        | YES         | 
 email_templates              | variables                      | jsonb                       | YES         | '{}'::jsonb
 email_templates              | is_default                     | boolean                     | YES         | false
 email_templates              | is_active                      | boolean                     | YES         | true
 email_templates              | created_by                     | integer                     | YES         | 
 email_templates              | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 email_templates              | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 groups                       | id                             | integer                     | NO          | nextval('groups_id_seq'::regclass)
 groups                       | client_id                      | integer                     | YES         | 
 groups                       | name                           | character varying           | NO          | 
 groups                       | description                    | text                        | YES         | 
 groups                       | group_type                     | character varying           | YES         | 'custom'::character varying
 groups                       | is_active                      | boolean                     | YES         | true
 groups                       | max_members                    | integer                     | YES         | 1000
 groups                       | auto_add_new_users             | boolean                     | YES         | false
 groups                       | email_domain_filter            | character varying           | YES         | 
 groups                       | group_settings                 | jsonb                       | YES         | 
 groups                       | meeting_defaults               | jsonb                       | YES         | 
 groups                       | notification_settings          | jsonb                       | YES         | 
 groups                       | external_id                    | character varying           | YES         | 
 groups                       | sync_source                    | character varying           | YES         | 'manual'::character varying
 groups                       | last_sync_at                   | timestamp without time zone | YES         | 
 groups                       | sync_errors                    | jsonb                       | YES         | 
 groups                       | created_by                     | integer                     | YES         | 
 groups                       | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 groups                       | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 meeting_analytics            | id                             | integer                     | NO          | nextval('meeting_analytics_id_seq'::regclass)
 meeting_analytics            | meeting_id                     | integer                     | YES         | 
 meeting_analytics            | participant_count              | integer                     | YES         | 0
 meeting_analytics            | peak_participants              | integer                     | YES         | 0
 meeting_analytics            | total_duration_seconds         | integer                     | YES         | 0
 meeting_analytics            | chat_messages_count            | integer                     | YES         | 0
 meeting_analytics            | screen_shares_count            | integer                     | YES         | 0
 meeting_analytics            | recordings_count               | integer                     | YES         | 0
 meeting_analytics            | raise_hands_count              | integer                     | YES         | 0
 meeting_analytics            | permission_requests_count      | integer                     | YES         | 0
 meeting_analytics            | average_participant_duration   | integer                     | YES         | 0
 meeting_analytics            | participant_join_times         | jsonb                       | YES         | 
 meeting_analytics            | participant_leave_times        | jsonb                       | YES         | 
 meeting_analytics            | feature_usage_stats            | jsonb                       | YES         | 
 meeting_analytics            | quality_metrics                | jsonb                       | YES         | 
 meeting_analytics            | created_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 meeting_analytics            | updated_at                     | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 meeting_participant_extended | id                             | integer                     | NO          | nextval('meeting_participant_extended_id_seq'::regclass)
 meeting_participant_extended | meeting_participant_id         | integer                     | YES         | 
 meeting_participant_extended | connection_quality             | character varying           | YES         | 'good'::character varying
 meeting_participant_extended | device_info                    | jsonb                       | YES         | 
 meeting_participant_extended | browser_info                   | jsonb                       | YES         | 
 meeting_participant_extended | network_info                   | jsonb                       | YES         | 
 meeting_participant_extended | permissions_granted            | jsonb                       | YES         | 
 meeting_participant_extended | speaking_time_seconds          | integer                     | YES         | 0
